"SiteId","SiteName","SiteUrl","PageCount","MaxDepth","ErrorPages","EmbedCount","PagesWithEmbeds","ExternalDomainCount","PermissionRows","PublicPermissionRows","DomainPermissionRows","GroupPermissionRows","UserPermissionRows","ExternalPrincipalRows","StructurePoints","EmbedPoints","SecurityPoints","TotalScore","Rating","Recommendation"
"1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q","Untitled Site","https://sites.google.com/d/1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe","testone — Converted from Classic Sites","https://sites.google.com/d/1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe/edit","1","0","0","1","1","4","2","0","0","0","2","0","1","11","0","12","Low","Direct migration candidate"
"1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB","Roche Template","https://sites.google.com/d/1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy","test_new_site1","https://sites.google.com/d/1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy/edit","1","0","0","1","1","4","2","0","0","0","2","0","1","11","0","12","Low","Direct migration candidate"
"1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk","Untitled site","https://sites.google.com/d/1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__","1a2s3d4f5g","https://sites.google.com/d/1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1qbTKoA-Ic3DcS7vQBHLRRzPi10cvZ0z9","Project","https://sites.google.com/d/1qbTKoA-Ic3DcS7vQBHLRRzPi10cvZ0z9/edit","1","0","0","1","1","4","2","0","1","0","1","0","1","11","1","13","Low","Direct migration candidate"
"1vqMWMhQNBQjcv0TJwxEvS-AM0rPIcCyd","test_site_Leno","https://sites.google.com/d/1vqMWMhQNBQjcv0TJwxEvS-AM0rPIcCyd/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"16p5UjAv-C9tFe3-clyX1eTrySajkY6s2","Untitled site","https://sites.google.com/d/16p5UjAv-C9tFe3-clyX1eTrySajkY6s2/edit","1","0","0","1","1","4","2","0","0","0","2","0","1","11","0","12","Low","Direct migration candidate"
"1u4RSDypFBsYS-8SRXF9J7HideBFyoWz3","test 1000","https://sites.google.com/d/1u4RSDypFBsYS-8SRXF9J7HideBFyoWz3/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1S6gYmhawxcaI4CHH5Bjy6gZqYM1QNFY9","migra site","https://sites.google.com/d/1S6gYmhawxcaI4CHH5Bjy6gZqYM1QNFY9/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1oxjUJjEqor9tmRp7PIQqdlwwHhgLpHg2","Copy of Roche Template","https://sites.google.com/d/1oxjUJjEqor9tmRp7PIQqdlwwHhgLpHg2/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1OWMDwh70yVe-th5cUfK7jwtH1jKxByXO","Roche Template","https://sites.google.com/d/1OWMDwh70yVe-th5cUfK7jwtH1jKxByXO/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1lXk3Ymt7BDFhGxgmg3Gw6vKjI2gI5npe","Test gSite for the GAM PROD assessment","https://sites.google.com/d/1lXk3Ymt7BDFhGxgmg3Gw6vKjI2gI5npe/edit","1","0","0","1","1","4","2","0","0","0","2","0","1","11","0","12","Low","Direct migration candidate"
"1rQwva6fQ8xk3-34jlSA-8dmHizIEfpVm","Help Center","https://sites.google.com/d/1rQwva6fQ8xk3-34jlSA-8dmHizIEfpVm/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
"1cd00qAHSWCcM2jUTk5Tfv_IQpoObTgsX","Copy of ITO LT Operational Meeting","https://sites.google.com/d/1cd00qAHSWCcM2jUTk5Tfv_IQpoObTgsX/edit","1","0","0","1","1","4","1","0","0","0","1","0","1","11","0","12","Low","Direct migration candidate"
