SiteId,SiteName,PageUrl,ExternalDomain
1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q,Untitled Site,https://sites.google.com/d/1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q/edit,support.google.com
1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q,Untitled Site,https://sites.google.com/d/1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q/edit,accounts.google.com
1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q,Untitled Site,https://sites.google.com/d/1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q/edit,ssl.gstatic.com
1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q,Untitled Site,https://sites.google.com/d/1cNxDDhIHOHFY-MhxfbZnKvDvq1j5O94q/edit,lh3.googleusercontent.com
1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe,testone — Converted from Classic Sites,https://sites.google.com/d/1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe/edit,support.google.com
1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe,testone — Converted from Classic Sites,https://sites.google.com/d/1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe/edit,accounts.google.com
1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe,testone — Converted from Classic Sites,https://sites.google.com/d/1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe/edit,ssl.gstatic.com
1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe,testone — Converted from Classic Sites,https://sites.google.com/d/1QGyEQRnnP3RxSPTwf9Zz3WuLXm546dQe/edit,lh3.googleusercontent.com
1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB,Roche Template,https://sites.google.com/d/1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB/edit,support.google.com
1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB,Roche Template,https://sites.google.com/d/1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB/edit,accounts.google.com
1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB,Roche Template,https://sites.google.com/d/1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB/edit,ssl.gstatic.com
1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB,Roche Template,https://sites.google.com/d/1bFQEeicgkKYZBnKtESQrmty0aH8AKEjB/edit,lh3.googleusercontent.com
1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy,test_new_site1,https://sites.google.com/d/1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy/edit,support.google.com
1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy,test_new_site1,https://sites.google.com/d/1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy/edit,accounts.google.com
1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy,test_new_site1,https://sites.google.com/d/1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy/edit,ssl.gstatic.com
1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy,test_new_site1,https://sites.google.com/d/1wWZ-bZMXIkZNIjdrLxB95D8DO6glKMRy/edit,lh3.googleusercontent.com
1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk,Untitled site,https://sites.google.com/d/1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk/edit,support.google.com
1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk,Untitled site,https://sites.google.com/d/1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk/edit,accounts.google.com
1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk,Untitled site,https://sites.google.com/d/1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk/edit,ssl.gstatic.com
1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk,Untitled site,https://sites.google.com/d/1nW0vcqy5JppqzgmmYBFpP2OzkHcw13tk/edit,lh3.googleusercontent.com
1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__,1a2s3d4f5g,https://sites.google.com/d/1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__/edit,support.google.com
1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__,1a2s3d4f5g,https://sites.google.com/d/1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__/edit,accounts.google.com
1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__,1a2s3d4f5g,https://sites.google.com/d/1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__/edit,ssl.gstatic.com
1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__,1a2s3d4f5g,https://sites.google.com/d/1Jkr8wc6WJy_el_5SCEBacvEsw0Ahk1__/edit,lh3.googleusercontent.com
1qbTKoA-Ic3DcS7vQBHLRRzPi10cvZ0z9,Project,https://sites.google.com/d/1qbTKoA-Ic3DcS7vQBHLRRzPi10cvZ0z9/edit,support.google.com
